crew_id	role	movie_id
nm1080299	soundtrack,composer,music_department	tt0094898
nm1080299	soundtrack,composer,music_department	tt4701182
nm1080299	soundtrack,composer,music_department	tt1308728
nm1080388	camera_department,cinematographer,director	tt0306047
nm1080388	camera_department,cinematographer,director	tt2390276
nm1080388	camera_department,cinematographer,director	tt4864538
nm1080388	camera_department,cinematographer,director	tt0265944
nm10813720		tt4116284
nm1081821	costume_designer,music_department,costume_department	tt1721672
nm1081821	costume_designer,music_department,costume_department	tt2492374
nm1081821	costume_designer,music_department,costume_department	tt0301036
nm1081821	costume_designer,music_department,costume_department	tt1333125
nm1085154	miscellaneous	tt1153706
nm1085154	miscellaneous	tt0257106
nm1085901	miscellaneous	tt0257106
nm1086725	transportation_department	tt1628841
nm1086725	transportation_department	tt4925292
nm1086725	transportation_department	tt9243946
nm1086725	transportation_department	tt2126355
nm1086849	miscellaneous	tt0257106
nm1086864	miscellaneous	tt0120820
nm1086864	miscellaneous	tt0257106
nm1087927	actor,miscellaneous	tt0257106
nm1087927	actor,miscellaneous	tt0339714
nm1087927	actor,miscellaneous	tt0970453
nm1087927	actor,miscellaneous	tt0118435
nm1087952	writer,producer,miscellaneous	tt1490017
nm1087952	writer,producer,miscellaneous	tt3387520
nm1087952	writer,producer,miscellaneous	tt3014284
nm1087952	writer,producer,miscellaneous	tt1734135
nm1087978	miscellaneous	tt0257106
nm10900469		tt4046784
nm10900469		tt9243946
nm10900469		tt2557490
nm10900469		tt2209764
nm1090474	actor,miscellaneous,writer	tt2249183
nm1090474	actor,miscellaneous,writer	tt1567227
nm1090474	actor,miscellaneous,writer	tt4364606
nm1090474	actor,miscellaneous,writer	tt0389790
nm10920209	visual_effects	tt9243946
nm10920209	visual_effects	tt7826108
nm10920209	visual_effects	tt6141246
nm10920209	visual_effects	tt1560220
nm10925586	art_department	tt1333125
nm1092593	miscellaneous,actress	tt1645131
nm1092593	miscellaneous,actress	tt0175142
nm1092593	miscellaneous,actress	tt0441773
nm1092593	miscellaneous,actress	tt0296401
nm10952404		tt9243946
nm10952405		tt9243946
nm1095881	art_department,director,animation_department	tt0117705
nm1095881	art_department,director,animation_department	tt1600757
nm1095881	art_department,director,animation_department	tt0206512
nm1095881	art_department,director,animation_department	tt0462538
nm11008643	costume_department	tt7945720
nm11008643	costume_department	tt8427140
nm11008643	costume_department	tt9243946
nm11008643	costume_department	tt10574236
nm1101562	producer,music_department,writer	tt3960412
nm1101562	producer,music_department,writer	tt0319931
nm1101562	producer,music_department,writer	tt0423776
nm1101562	producer,music_department,writer	tt0306047
nm1102378	animation_department,art_department,actor	tt0462538
nm1102378	animation_department,art_department,actor	tt0096697
nm1102378	animation_department,art_department,actor	tt0206512
nm1102378	animation_department,art_department,actor	tt0415728
nm1104361	camera_department	tt0199389
nm1104361	camera_department	tt0196106
nm1104361	camera_department	tt0306047
nm1104361	camera_department	tt0309593
nm11049521	actor	tt9243946
nm11049521	actor	tt9310136
nm11049522	actress	tt14181816
nm11049522	actress	tt5464086
nm11049522	actress	tt11188682
nm11049522	actress	tt9243946
nm11049624	camera_department	tt9243946
nm11049625		tt9243946
nm11049625		tt5294522
nm11051053	miscellaneous	tt9243946
nm1107584	camera_department,cinematographer	tt1333125
nm1107584	camera_department,cinematographer	tt0292429
nm1107584	camera_department,cinematographer	tt4385888
nm1107584	camera_department,cinematographer	tt0311284
nm1109143	visual_effects,miscellaneous	tt0413267
nm1109143	visual_effects,miscellaneous	tt0389790
nm1109143	visual_effects,miscellaneous	tt0351283
nm1109143	visual_effects,miscellaneous	tt0298148
nm1109726	make_up_department,actress	tt0393208
nm1109726	make_up_department,actress	tt0270487
nm1109726	make_up_department,actress	tt0362120
nm1109726	make_up_department,actress	tt3230454
nm11098896	visual_effects	tt0448115
nm11098896	visual_effects	tt9243946
nm11098897	visual_effects,editor	tt9376612
nm11098897	visual_effects,editor	tt6141246
nm11098897	visual_effects,editor	tt9243946
nm11098897	visual_effects,editor	tt0870154
nm11098898	visual_effects	tt1560220
nm11098898	visual_effects	tt2076822
nm11098898	visual_effects	tt1634106
nm11098898	visual_effects	tt9243946
nm11098899	visual_effects	tt4574334
nm11098899	visual_effects	tt7657566
nm11098899	visual_effects	tt9243946
nm11098908		tt4574334
nm11098908		tt9243946
nm11098908		tt1634106
nm1111127	camera_department,sound_department,editorial_department	tt0325710
nm1111127	camera_department,sound_department,editorial_department	tt4116284
nm1111127	camera_department,sound_department,editorial_department	tt1490017
nm1111127	camera_department,sound_department,editorial_department	tt0455824
nm1111279	miscellaneous,actor,production_manager	tt0892769
nm1111279	miscellaneous,actor,production_manager	tt0424095
nm1111279	miscellaneous,actor,production_manager	tt0138749
nm1111279	miscellaneous,actor,production_manager	tt0389790
nm1111422	soundtrack,composer	tt1490017
nm1111422	soundtrack,composer	tt0265208
nm1111422	soundtrack,composer	tt0204946
nm1111422	soundtrack,composer	tt3152624
nm1111449	actor,producer	tt0409459
nm1111449	actor,producer	tt0362120
nm1111449	actor,producer	tt0368578
nm1111449	actor,producer	tt0429493
nm1112579	camera_department,miscellaneous	tt1333125
nm1112579	camera_department,miscellaneous	tt0408790
