movie_id	crew_id
tt0190641	nm0462048
tt3717532	nm0462076
tt0113820	nm0466393
tt3717532	nm0466989
tt0076257	nm0467511
tt0190641	nm0468802
tt0105616	nm0469592
tt0086491	nm0471189
tt0806147	nm0472686
tt0175142	nm0472772
tt0208185	nm0477206
tt0076257	nm0477262
tt0092106	nm0477542
tt0113820	nm0482955
tt0306841	nm0483047
tt0113820	nm0484542
tt0076257	nm0484854
tt0117128	nm0485529
tt0392878	nm0487433
tt0190641	nm0488851
tt2872750	nm0493199
tt0306047	nm0493349
tt2112096	nm0496478
tt0076257	nm0497006
tt0112572	nm0497522
tt3014284	nm0497567
tt1490017	nm0498175
tt0113820	nm0498972
tt0190641	nm0498994
tt0799949	nm0502026
tt0113198	nm0504786
tt0113820	nm0505906
tt0466342	nm0505982
tt0113198	nm0508660
tt0076257	nm0509195
tt0485323	nm0509523
tt0190641	nm0510418
tt0076257	nm0510523
tt0113820	nm0511230
tt0113820	nm0513057
tt0799949	nm0514694
tt0093072	nm0516099
tt2872750	nm0516880
tt3014284	nm0517517
tt0257106	nm0518562
tt9243946	nm0518749
tt0806147	nm0519696
tt1490017	nm0520488
tt0076257	nm0521610
tt0079588	nm0522356
tt0220099	nm0524401
tt0113198	nm0525083
tt0076257	nm0525819
tt0099472	nm0528269
tt0277371	nm0528944
tt0220099	nm0529029
tt0190524	nm0532191
tt0190524	nm0533233
tt2091256	nm0533474
tt0113198	nm0533557
tt0079588	nm0534650
tt0275277	nm0535903
tt0362120	nm0536685
tt0117128	nm0540075
tt0134067	nm0540131
tt0235679	nm0540443
tt0190524	nm0541382
tt0485323	nm0542471
tt1743720	nm0543908
tt0112572	nm0544055
tt0443431	nm0546227
tt0362120	nm0546737
tt0099472	nm0546760
tt0105616	nm0546760
tt0092106	nm0546815
tt0113820	nm0547296
tt0080520	nm0547499
tt0190524	nm0548268
tt0113198	nm0549968
tt2091256	nm0550335
tt0113820	nm0550649
tt0134067	nm0550836
tt0389790	nm0552092
tt0076257	nm0554284
tt0086491	nm0558953
tt0190641	nm0559392
tt0114563	nm0559604
tt0113820	nm0560136
tt0795461	nm0560695
tt0392878	nm0561391
tt0113198	nm0561941
tt0113820	nm0562024
tt0105616	nm0562503
tt0462538	nm0563062
tt0105616	nm0563884
tt0099472	nm0564841
tt0462538	nm0565444
tt0175142	nm0566556
tt0093072	nm0566852
tt0113820	nm0567321
tt0100740	nm0568186
tt0392878	nm0568409
tt0086491	nm0568748
tt0110169	nm0569041
tt0105616	nm0572857
tt0113198	nm0575382
tt0277371	nm0576311
tt1825918	nm0579668
tt0113198	nm0583961
tt0113198	nm0585551
tt0079588	nm0585593
tt1213644	nm0586849
tt0086491	nm0587356
tt0322802	nm0587629
tt4116284	nm0587800
tt0392878	nm0588645
tt0462538	nm0588704
tt0306841	nm0590138
tt0105616	nm0590838
tt0289408	nm0590990
tt0190641	nm0594255
tt0113198	nm0594587
tt0120389	nm0594671
tt0113198	nm0595364
tt0093072	nm0597222
tt0113198	nm0598279
tt0120389	nm0599592
tt9243946	nm0599620
tt0086491	nm0600746
tt0175142	nm0601214
tt0105616	nm0601659
tt0092106	nm0605313
tt0113820	nm0606268
tt0345950	nm0609728
tt0076257	nm0611451
tt0426592	nm0611669
tt0079588	nm0612020
tt1985949	nm0612049
tt0275277	nm0613503
tt0220099	nm0613559
tt0323642	nm0613559
tt0407121	nm0613559
tt0277371	nm0613775
tt0485323	nm0614045
tt0117128	nm0614436
tt0113820	nm0614607
tt0120389	nm0615042
tt4116284	nm0615554
tt0306047	nm0618521
tt0113198	nm0619583
tt0462538	nm0620552
tt0175142	nm0621395
tt0113820	nm0621565
tt0120389	nm0621565
tt1333125	nm0622749
tt0076257	nm0625978
tt0190524	nm0627238
tt4943998	nm0629882
tt0799949	nm0630313
tt0306841	nm0630601
tt0113820	nm0634750
tt0443431	nm0636218
tt0306047	nm0636881
tt0076257	nm0636883
tt0099472	nm0638584
tt1114677	nm0639434
tt0079588	nm0640490
tt0389790	nm0640976
tt0362120	nm0641183
tt0113198	nm0642746
tt2112096	nm0646948
tt0113820	nm0647504
tt0277371	nm0647638
tt1144539	nm0650283
tt0485323	nm0651914
tt1114677	nm0652089
tt0113820	nm0652091
tt0259974	nm0652701
tt0113198	nm0653904
tt0175142	nm0654119
tt0079588	nm0654804
tt1144539	nm0655461
tt0485323	nm0657139
tt1333125	nm0657825
tt0113820	nm0659794
tt0392878	nm0662345
tt0275277	nm0662630
tt0426592	nm0663522
tt0806147	nm0666433
tt0220099	nm0667533
tt0175142	nm0668097
tt0120389	nm0668506
tt3513498	nm0668518
tt0462538	nm0671820
tt0190524	nm0672107
tt0190524	nm0672112
tt0086491	nm0674221
tt0392878	nm0675278
tt9398640	nm0675497
tt0105616	nm0677988
tt0289408	nm0678000
tt0175142	nm0678906
tt0113198	nm0680185
tt0080520	nm0681393
tt0190524	nm0683600
tt0190641	nm0683609
tt0235679	nm0683609
tt0113198	nm0683724
tt0362120	nm0685692
tt0259974	nm0687222
tt6095472	nm0687937
tt0466342	nm0688919
tt1114677	nm0689954
tt0322802	nm0690686
tt4943998	nm0693422
tt0306841	nm0694146
tt0425601	nm0694450
tt0306047	nm0695731
tt0277371	nm0696515
tt0181288	nm0697140
tt0113820	nm0699231
tt0099472	nm0703204
tt0190641	nm0703454
tt0426592	nm0711991
tt0289408	nm0713366
tt0113198	nm0714201
tt0113198	nm0714856
tt0105616	nm0715555
tt0345950	nm0715978
tt2872750	nm0716312
tt0462538	nm0718514
tt0092106	nm0720890
tt0105616	nm0721212
tt0345950	nm0721226
tt1144539	nm0721647
tt0259974	nm0723417
tt0134067	nm0723607
tt0086491	nm0724084
tt0113198	nm0724310
tt0491703	nm0724436
tt0257106	nm0725200
tt0257106	nm0728021
tt0112572	nm0730222
tt0392878	nm0730279
tt0116118	nm0731067
tt0175142	nm0733193
tt0306841	nm0733645
tt0323642	nm0735283
tt0105616	nm0738731
tt0392878	nm0739913
tt0426592	nm0742209
tt0120389	nm0742225
tt0220099	nm0744772
tt0323642	nm0744772
tt1144539	nm0746783
tt0100740	nm0748261
tt0117128	nm0750358
tt0389790	nm0751319
tt0462538	nm0757017
tt1490017	nm0757932
tt0113198	nm0759050
tt2279373	nm0759053
tt0076257	nm0759991
tt0190524	nm0760527
tt0277371	nm0761509
tt0277371	nm0761630
tt4116284	nm0762816
tt0275277	nm0762951
tt0175142	nm0764163
tt0220099	nm0765819
tt0275277	nm0765822
tt0175142	nm0766866
tt2279373	nm0768107
tt0086491	nm0768208
tt0426592	nm0769930
tt0455326	nm0770225
tt9398640	nm0770462
tt0462538	nm0770534
tt0079588	nm0771654
tt0099472	nm0772920
tt0389790	nm0772996
tt2452042	nm0776433
tt0112572	nm0777338
tt0100740	nm0781305
tt1213644	nm0783536
tt0799949	nm0783536
tt0076257	nm0784579
tt0076257	nm0787406
tt1333125	nm0787576
tt0362120	nm0788340
tt2091256	nm0788640
tt0089961	nm0790103
tt0175142	nm0790496
tt0462538	nm0790746
tt0105616	nm0793485
tt0190641	nm0794185
tt0235679	nm0795575
tt0190641	nm0795575
tt0190524	nm0797547
tt0362120	nm0797638
tt0257106	nm0798840
tt0462538	nm0798899
tt0795461	nm0801891
tt0306047	nm0803017
tt0117128	nm0803771
tt0092106	nm0805824
tt0181288	nm0807687
tt0277371	nm0807894
tt0190524	nm0809363
tt0362120	nm0810109
tt0113198	nm0810130
tt0075222	nm0811874
tt0086491	nm0811953
tt0076257	nm0815586
tt1333125	nm0816987
tt0306841	nm0818451
tt0277371	nm0818934
tt0257106	nm0819606
tt0190524	nm0820594
tt0113820	nm0821696
tt0306047	nm0821970
tt0092106	nm0822034
tt0076257	nm0823593
tt0426592	nm0825569
tt0443431	nm0827171
tt0799949	nm0828742
tt2872750	nm0828830
tt1333125	nm0830954
tt0220099	nm0831254
tt0117128	nm0832262
tt0306841	nm0833828
tt0117128	nm0834072
tt0190524	nm0838652
tt0079588	nm0839527
tt0113198	nm0841379
tt0113198	nm0841610
tt0110169	nm0842190
tt0113198	nm0843914
tt0277371	nm0845161
tt0113820	nm0846104
tt0306841	nm0846121
tt0275277	nm0847330
tt0220099	nm0847397
tt0323642	nm0847397
tt0114563	nm0847397
tt3717532	nm0847594
tt0275277	nm0847612
tt0259974	nm0848439
tt0076257	nm0848895
tt0275277	nm0850757
tt0277371	nm0853037
tt0099472	nm0853067
tt0099472	nm0853122
tt0462538	nm0853122
tt0190641	nm0853301
tt0306047	nm0853335
tt0323642	nm0853399
tt0407121	nm0853399
tt0306841	nm0858969
tt0306047	nm0860091
tt0105616	nm0860304
tt2872750	nm0860410
tt2452042	nm0861109
tt0466342	nm0861714
tt0362120	nm0861836
tt0426592	nm0863200
tt0113198	nm0863286
tt0426592	nm0866875
tt0306047	nm0868278
tt0257106	nm0868851
tt0086491	nm0869324
tt0113820	nm0870053
tt0425601	nm0870583
tt0099472	nm0874104
tt0114563	nm0875329
tt1213644	nm0877645
tt0485323	nm0879756
tt0275277	nm0879922
tt0407121	nm0880316
tt0079588	nm0880621
tt1333125	nm0881952
tt1190617	nm0883060
tt0100740	nm0887176
tt0099472	nm0887506
tt1333125	nm0887977
tt3513498	nm0888320
tt0362120	nm0888755
tt0076257	nm0889020
tt0462538	nm0889407
tt0079588	nm0890114
tt0306047	nm0892868
tt0306047	nm0895955
tt0314166	nm0897267
tt0092106	nm0903881
tt0113820	nm0906996
tt0100740	nm0907012
tt0117128	nm0907911
tt0462538	nm0908743
tt0076257	nm0909402
tt0426592	nm0909910
tt0120389	nm0910389
tt0076257	nm0910875
tt0389790	nm0911320
tt0277371	nm0911700
tt0079588	nm0913024
tt0113198	nm0913195
tt0466342	nm0913605
tt0113198	nm0914128
tt0277371	nm0917528
tt0110169	nm0918905
tt0076257	nm0918915
tt0110169	nm0919048
tt0092106	nm0919384
tt0100740	nm0919693
tt0105616	nm0920667
tt1333125	nm0921976
tt0112572	nm0924933
tt0345950	nm0925526
tt2112096	nm0925930
tt0462538	nm0927293
tt0079588	nm0928178
tt0220099	nm0932173
tt0323642	nm0932173
tt0462538	nm0932173
tt0455326	nm0932302
tt0306047	nm0934781
tt2123146	nm0936011
tt0277371	nm0938161
tt1333125	nm0938955
tt0426592	nm0939575
tt0220099	nm0940222
tt0099472	nm0940222
tt0110169	nm0942558
tt0079588	nm0942772
tt1114677	nm0943061
tt0086491	nm0943280
tt0100740	nm0943431
tt0235679	nm0945669
tt0275277	nm0946695
tt0275277	nm0948893
tt0235679	nm0948914
tt0190641	nm0948932
tt0190641	nm0948980
tt3014284	nm0949124
tt3513498	nm0949124
tt0099472	nm0949241
tt0190524	nm0950097
tt1490017	nm0951664
tt0175142	nm0954848
tt0120389	nm0955162
tt0117128	nm0957858
tt0235679	nm0963174
tt0306047	nm0967877
tt0175142	nm0969799
tt0190641	nm0970567
tt0425601	nm0970701
tt0277371	nm0971796
tt0208185	nm0971798
tt0190641	nm0972137
tt0190641	nm0972167
tt0799949	nm0974246
tt0426592	nm0990045
tt9398640	nm0991112
tt0306047	nm0997960
tt3717532	nm0998010
tt0079588	nm1000160
tt4823776	nm10004550
tt0079588	nm1001182
tt5544384	nm10016971
tt5544384	nm10016974
tt0259974	nm1002071
tt3717532	nm10023427
tt3513498	nm10024704
tt3014284	nm10024704
tt0275277	nm10036008
tt0259974	nm1003716
tt9243946	nm10048015
tt4823776	nm10050864
tt3513498	nm10062240
tt3014284	nm10062240
tt2091256	nm10077737
tt4618398	nm10079933
tt3717532	nm10079933
tt4823776	nm10081061
tt4618398	nm10090954
tt4618398	nm10090958
tt3717532	nm10090958
tt4877122	nm1010101
tt0257106	nm1010708
tt0257106	nm1010749
tt2872750	nm1011065
tt0257106	nm1012025
tt9243946	nm10121628
tt0345950	nm1012177
tt0257106	nm1012267
tt1490017	nm1013024
tt0257106	nm1013347
tt0117128	nm1015375
tt0086491	nm1015861
tt0462538	nm1016094
tt3513498	nm10167267
tt2872750	nm1017994
tt0799949	nm1020236
tt0134067	nm1020433
tt0275277	nm10204641
tt6095472	nm10219060
tt4618398	nm10231700
tt3717532	nm10231700
tt4943998	nm10232888
tt4823776	nm10245883
tt0323642	nm1025522
tt0426592	nm1026295
tt9177882	nm10264311
tt0190524	nm1026488
tt0257106	nm1026798
tt5323662	nm1027089
tt0362120	nm1027455
tt4618398	nm10281638
tt3513498	nm10287216
tt0100740	nm1029682
tt3014284	nm10305504
tt3513498	nm10305504
tt0277371	nm1031223
tt6095472	nm10314549
tt2452042	nm10322954
tt0426592	nm1032457
tt0306841	nm1032522
tt4116284	nm10332017
tt4877122	nm10332017
tt3513498	nm10335991
tt4823776	nm10370738
tt3717532	nm10372672
tt9177882	nm10372686
tt0322802	nm1038657
tt0345950	nm1039508
tt0289408	nm1039508
tt2279373	nm1039508
tt0799949	nm1041063
tt0220099	nm1041189
tt1743720	nm1041597
tt3513498	nm10416066
tt4823776	nm10420464
tt4823776	nm10423742
tt4823776	nm10439139
tt3014284	nm10451877
tt3513498	nm10451877
tt4116284	nm10451877
tt3513498	nm10464422
tt0795461	nm1046612
tt0362120	nm1047990
tt0455326	nm1048786
tt3513498	nm10493272
tt3513498	nm10493273
tt2091256	nm10497814
tt0113820	nm1051714
tt0455326	nm1052894
tt0389790	nm1053227
tt0425601	nm1053688
tt0117128	nm1053847
tt3513498	nm10548924
tt0175142	nm1055075
tt0175142	nm1055173
tt0175142	nm1055487
tt0181288	nm1055635
tt0175142	nm1055643
tt0175142	nm1055770
tt0175142	nm1056146
tt0175142	nm1056181
tt0175142	nm1056194
tt0175142	nm1056208
tt0175142	nm1056297
tt0175142	nm1056619
tt0175142	nm1056639
tt0175142	nm1056655
tt0175142	nm1056694
tt0175142	nm1056730
tt0175142	nm1056733
tt0175142	nm1056734
tt6095472	nm10568699
tt0175142	nm1057348
tt0175142	nm1057404
tt0175142	nm1057431
tt9398640	nm10582294
tt0190641	nm1059369
tt2091256	nm10597190
tt4823776	nm10609074
tt4823776	nm10609076
tt5323662	nm1061542
tt2091256	nm10626510
tt9177882	nm10635179
tt4823776	nm10639518
tt4823776	nm10639520
tt3513498	nm10652866
tt3717532	nm10658917
tt6095472	nm10677886
tt3513498	nm10685178
tt0113820	nm10691033
tt0425601	nm1071260
tt0112572	nm1071865
tt0099472	nm10728356
tt0277371	nm1072886
tt0076257	nm1073052
tt3014284	nm10731907
tt0426592	nm1074053
tt0389790	nm1074970
tt3513498	nm10754088
tt0190641	nm1077537
tt6193408	nm10795089
tt0322802	nm1080170
tt4116284	nm1080299
tt0306047	nm1080388
tt0076257	nm1081383
tt4823776	nm10821309
tt6095472	nm1083453
tt0092106	nm10856810
tt0257106	nm1085901
tt0466342	nm1086172
tt4618398	nm1086554
tt0257106	nm1086849
tt6095472	nm10872309
tt0257106	nm1087927
tt1490017	nm1087952
tt0257106	nm1087978
tt6095472	nm10894406
tt3717532	nm10910515
tt4618398	nm10910515
tt9243946	nm10920209
tt4823776	nm10926195
tt0277371	nm1096895
tt4823776	nm10992106
tt4823776	nm10998221
tt0105616	nm1100868
tt6193408	nm11012724
tt6193408	nm11012726
tt0277371	nm1101546
tt0277371	nm1102051
tt0485323	nm1102243
tt0277371	nm1102342
tt0462538	nm1102378
tt0277371	nm1102415
tt0277371	nm1102982
tt9243946	nm11049521
tt9243946	nm11051053
tt0117128	nm1106240
tt1333125	nm1107584
tt2872750	nm1108605
tt0099472	nm1108676
tt1369845	nm1108690
tt4877122	nm11091744
tt0134067	nm1109773
tt1490017	nm1111422
tt0099472	nm1112528
tt1333125	nm1112579
tt0362120	nm1114695
tt0093072	nm11163302
tt3014284	nm1117226
tt2279373	nm1119986
tt4116284	nm1120169
tt0190524	nm1120928
tt2452042	nm11217960
tt1985949	nm1124456
tt1333125	nm1125208
tt3717532	nm11270877
tt3014284	nm1127740
tt9398640	nm1130931
tt0190524	nm1131487
tt3513498	nm11316122
tt0462538	nm1131680
tt0092106	nm1132509
tt0190641	nm1133204
tt0092106	nm1134191
tt2091256	nm11355882
tt4116284	nm1136534
tt4823776	nm11368836
tt0086491	nm11376357
tt0076257	nm1138515
tt6095472	nm1139293
tt0795461	nm1139343
tt6095472	nm11398906
tt0113198	nm1140022
tt0113198	nm1141081
tt6193408	nm11425861
tt0426592	nm1144039
tt0114563	nm1145314
tt0462538	nm1145428
tt0190524	nm1145867
tt0190524	nm1146094
tt0190524	nm1146385
tt4618398	nm11472551
tt0190524	nm1147290
tt0306047	nm11482789
tt4823776	nm11483793
tt0362120	nm1148765
tt4823776	nm11500464
tt4618398	nm11509180
tt3717532	nm11509180
tt3717532	nm11509181
tt4618398	nm11509181
tt4618398	nm11509194
tt3717532	nm11509197
tt4618398	nm11509197
tt4618398	nm11509199
tt4618398	nm11509227
tt3717532	nm11509227
tt4618398	nm11509292
tt3717532	nm11509298
tt4618398	nm11509298
tt3717532	nm11509299
tt4618398	nm11509299
tt4618398	nm11509300
tt4618398	nm11509301
tt4618398	nm11509304
tt3717532	nm11509304
tt3717532	nm11509305
tt4618398	nm11509305
tt3717532	nm11509306
tt4618398	nm11509306
tt4618398	nm11509307
tt3717532	nm11509307
tt4618398	nm11509308
tt3717532	nm11509308
tt3717532	nm11509309
tt4618398	nm11509309
tt3717532	nm11509310
tt4618398	nm11509310
tt4618398	nm11509311
tt3717532	nm11509311
tt4618398	nm11509312
tt3717532	nm11509312
tt4618398	nm11509313
tt3717532	nm11509313
tt3717532	nm11509314
tt4618398	nm11509314
tt4618398	nm11509322
tt3717532	nm11509333
tt4618398	nm11509333
tt3717532	nm11509336
tt4618398	nm11509337
tt3717532	nm11509337
tt4618398	nm11509339
tt3717532	nm11509339
tt4618398	nm11509340
tt4618398	nm11509341
tt4618398	nm11510593
tt4618398	nm11510596
tt4618398	nm11510597
tt3717532	nm11510597
tt4618398	nm11510598
tt3717532	nm11510599
tt4618398	nm11510600
tt3717532	nm11510600
tt3717532	nm11510601
tt4618398	nm11510601
tt3717532	nm11510602
tt4618398	nm11510602
tt3717532	nm11510603
tt4618398	nm11510603
tt4618398	nm11510604
tt3717532	nm11510604
tt4618398	nm11510605
tt3717532	nm11510605
tt3717532	nm11510656
tt4618398	nm11510656
tt3717532	nm11510688
tt4618398	nm11510688
tt4618398	nm11510689
tt3717532	nm11510690
tt3717532	nm11510691
