id	name	birthDate	deathDate	role	movies
nm3067159	Racey North	\N	\N	art_department,art_director,set_decorator	tt1274296,tt1333125,tt1645080,tt1978512
nm3067937	John Kokum	\N	\N	producer,visual_effects,production_manager	tt0389790,tt1259013,tt1104001,tt0800369
nm3068648	Andrew Carbone	\N	\N	director,producer,actor	tt3382992,tt5136326,tt1333125,tt7320090
nm3072608	Silver Convention	\N	\N	soundtrack	tt0118749,tt0120577,tt4116284,tt0106519
nm3091603	Oleander	\N	\N	soundtrack	tt0145487,tt0252866,tt0175142,tt0163651
nm3100936	Christina Linhardt	\N	\N	actress,director,producer	tt1047449,tt2760174,tt1333125,tt3179350
nm3110359	Samantha Nisenboim	\N	\N	producer,miscellaneous,actress	tt3014284,tt9654628,tt4116284,tt9777666
nm3113801	Gwi Don Choi	\N	\N	animation_department	tt0462538,tt9140632,tt0091584,tt1561755
nm3114153	Jared Dwyer	\N	\N	sound_department	tt2058107,tt1392190,tt1490017,tt4116284
nm3114671	Jung Bok Wi	\N	\N	animation_department	tt0167247,tt0112197,tt0462538,tt0101178
nm3128959	Diego Arroyo	\N	\N	camera_department	tt0409847,tt0800369,tt9243946,tt0438488
nm3133636	Deadly Avenger	\N	\N	soundtrack,composer,music_department	tt0202346,tt0330111,tt0188674,tt0257106
nm3134590	Save Ferris	\N	\N	soundtrack	tt0175142,tt0120609,tt0383060,tt0147800
nm3135066	Samantha Feltus	\N	\N	producer,camera_department,art_department	tt1333125,tt1084950,tt0808279,tt1230414
nm3136098	Min-Jung Kim	\N	\N	animation_department,art_department,camera_department	tt2670290,tt2140203,tt0462538,tt1145152
nm3143552	Amanda Roberts	\N	\N	miscellaneous,camera_department,casting_department	tt1333125,tt1297123,tt1458175,tt1297075
nm3144681	Theo Madla	1984	\N	miscellaneous,actor,camera_department	tt0464154,tt1333125,tt10655954,tt1365587
nm3145947	Ced-Gee	\N	\N	soundtrack,composer	tt0376541,tt0257106,tt0160127,tt0202346
nm3147626	2 Unlimited	\N	\N	soundtrack,actor,composer	tt0265208,tt0204946,tt1490017,tt3152624
nm3151010	Pauline Koh	\N	\N	visual_effects,animation_department	tt1490017,tt0978764,tt1343092,tt3659388
nm3152719	Jessica Toth	\N	\N	make_up_department,special_effects	tt1333125,tt4425200,tt1464580,tt1608290
nm3161150	Brian J. Carey	\N	\N	miscellaneous,production_manager	tt0371823,tt0969647,tt0465997,tt0462538
nm3161438	Soul Sonic Force	\N	\N	soundtrack,actor	tt4537896,tt0244244,tt4116284,tt0206275
nm3162248	Red Snapper	\N	\N	soundtrack,composer	tt0208988,tt0179443,tt9243946,tt3917318
nm3162860	Ceasefire	\N	\N	soundtrack	tt0257106,tt0202346
nm3164392	Ant Banks	1966	\N	soundtrack,producer	tt0165929,tt0107554,tt0104573,tt0175142
nm3166840	Shane Kelly	\N	\N	miscellaneous	tt1333125,tt0211933,tt1323045,tt0494864
nm3176499	Sean Clark	\N	\N	art_department	tt1333125,tt0804503,tt0436058,tt5770786
nm3177612	Sean Emer	\N	\N	camera_department,cinematographer,visual_effects	tt1333125,tt12986906,tt11948716,tt7156670
nm3178749	Allison Grey	\N	\N	miscellaneous,camera_department,cinematographer	tt1762365,tt1501652,tt1296171,tt1333125
nm3184200	Raghunandan Gopala Krishna	\N	\N	visual_effects	tt1659175,tt0239235,tt3014284,tt4116284
nm3193371	Mauricio Brenes	\N	\N	miscellaneous	tt0892782,tt0389790,tt0479952,tt0481499
nm3205674	Mi Sun Jo	\N	\N	animation_department	tt1947979,tt0429305,tt0462538
nm3206380	Joey Reinisch	\N	\N	editorial_department,producer,production_manager	tt6128254,tt9243946,tt0804484,tt3032476
nm3217151	Brian Flaccus	\N	\N	actor,producer,writer	tt8369836,tt3835250,tt1333125,tt14315918
nm3244398	Kevin Schwimer	\N	\N	miscellaneous,sound_department	tt0455967,tt0389790,tt0443453,tt0889583
nm3246666	Jeffrey Tan	\N	\N	visual_effects,miscellaneous	tt1490017,tt1092026,tt0455824,tt0446029
nm3256017	Laurence Andrews	\N	\N	animation_department,visual_effects	tt1343092,tt0978764,tt1490017,tt4116284
nm3258685	Kang Chul	\N	\N	animation_department	tt0213334,tt0462538,tt0101076,tt2768084
nm3258807	Douglas Mitchell	\N	\N	art_department	tt0327597,tt4302938,tt1623288,tt1333125
nm3263848	Daniel Cotreno	\N	\N	camera_department,editorial_department	tt0813715,tt0313043,tt1333125,tt0424095
nm3265381	Claudia Ambriz	\N	\N	miscellaneous	tt0902954,tt1333125,tt11252248,tt3904078
nm3266732	Michael Fong	\N	\N	art_department,animation_department,miscellaneous	tt4116284,tt1877889,tt6139732,tt3513498
nm3267790	Justin Tranter	\N	\N	soundtrack,composer,actor	tt4729430,tt4116284,tt0437086,tt3411444
nm3271699	Lior Vardi	\N	\N	miscellaneous,production_manager,producer	tt1683526,tt1333125,tt1922777,tt1874633
nm3273959	Erika Isabel Vega	1982	\N	animation_department,visual_effects,miscellaneous	tt0096697,tt1566366,tt0462538,tt0386993
