ID	NAME	BIRTH	DEATH	PROFESSION	MOVIES
nm8912653	Romain Lavoine	\N	\N	visual_effects,director,writer	tt6095472,tt4877122,tt4633694,tt7979580
nm8932138	Galaad Alais	\N	\N	animation_department,director,writer	tt2091256,tt2296777,tt3470600,tt6795680
nm8956030	Ngo Quoc Huy	\N	\N	animation_department	tt4116284,tt0465502,tt0424279
nm8957777	Alejandro Ramírez	\N	\N	composer,soundtrack	tt4823776,tt2820852,tt7718110
nm8963919	Elizabeth Roybal	\N	\N	miscellaneous,transportation_department,art_department	tt9243946,tt5761496,tt8289758,tt6517320
nm8978086	Alexander Twibell	\N	\N	art_department	tt9243946,tt3829920,tt3420504,tt6412452
nm8984019	Sang Ngoc Le	\N	\N	visual_effects	tt3513498,tt5117670,tt3014284,tt4154664
nm8984290	Na Young Kim	\N	\N	editorial_department	tt0348124
nm8984291	Samjin Kim	\N	\N	editorial_department	tt0348124
nm8984293	Tae Hyun Oh	\N	\N	visual_effects	tt0348124
nm8984294	Min Suk Ji	\N	\N	visual_effects	tt0348124
nm8984295	Yun Kyu Bae	\N	\N	visual_effects	tt0348124
nm8984296	Hae Jin Seo	\N	\N	visual_effects	tt0348124,tt0446724
nm8984297	Jeong Hee Lim	\N	\N	visual_effects	tt0348124
nm8984298	Shin Hae Jeong	\N	\N	visual_effects	tt0348124
nm8984299	Bok Sun Choi	\N	\N	visual_effects	tt0348124
nm8984300	So Hyun Choi	\N	\N	visual_effects	tt0348124
nm8984301	Jinae Yim	\N	\N	visual_effects	tt0348124
nm8984303	Ho Kil Lee	\N	\N	miscellaneous	tt0348124
nm8984304	Min Suk Kim	\N	\N	miscellaneous	tt0348124
nm8985147	Keen Foong	\N	\N	animation_department	tt4116284,tt3014284
nm8988664	Jeong Woo Nam	\N	\N	animation_department	tt0348124
nm8988667	Hae Jin Ryu	\N	\N	animation_department	tt0348124
nm8988668	Myoung Eun Bang	\N	\N	animation_department	tt0348124
nm8988669	Mi Soon Yun	\N	\N	animation_department	tt0348124,tt0446724
nm8997263	Kelly M. Covey	\N	\N	miscellaneous,script_department	tt2091256,tt7620702,tt4816058
nm8998943	Paul Heffernan	\N	\N	visual_effects	tt3014284,tt4116284,tt3513498
nm9000707	Caroline Beyne	\N	\N	visual_effects,miscellaneous	tt4823776,tt2239822,tt2091256,tt11832046
nm9005479	Matoma	\N	\N	soundtrack,actor	tt1985949,tt5691024,tt4501244
nm9010926	Nicolette Dyke	\N	\N	visual_effects,production_manager	tt6095472,tt5220122,tt4779682,tt2567026
nm9014224	Koichiro Mukai	\N	\N	miscellaneous,producer	tt5323662,tt3204012,tt7326322,tt13288678
nm9015053	Aki Yamatogi	\N	\N	animation_department	tt5323662,tt2098308
nm9015054	Jeong-a Park	\N	\N	animation_department,art_department,visual_effects	tt5323662,tt14814704,tt5688888,tt0962826
nm9015055	Ji-Hi Kim	\N	\N	animation_department	tt5323662
nm9015056	Kouji Maruyama	\N	\N	animation_department,art_director,art_department	tt4618398,tt3717532,tt5323662,tt4539114
nm9015057	Marie Kitai	\N	\N	animation_department,art_director	tt5323662,tt2591814,tt3717532,tt4618398
nm9015058	Momoka Hase	\N	\N	animation_department	tt5323662
nm9015081	Tomoki Hiraishi	\N	\N	animation_department	tt5323662,tt4539114,tt2340841,tt7078180
nm9015084	Caroline Beatrice	\N	\N	animation_department	tt5323662,tt7058854,tt8346438,tt2230051
nm9015086	Jeremia John	\N	\N	animation_department	tt5323662,tt6352180
